Sales_ID,Date,Region,Country,City,Sales_Team,Account_Manager,Product_ID,Units_Sold,Revenue,Profit_Margin,Profit,Customer_ID,,,,,
1,22-07-22,Europe,Netherlands,Florence,LSG,Carlos Lopez,1044,268,58530.57,0.3,17559.17,339,,,,,
2,28-02-22,Europe,Belgium,London,PPG,Carlos Lopez,1013,226,165474.7903,0.47,74859.92,897,,,,,
3,26-02-23,Europe,Sweden,Amsterdam,TTD,Aki Tanaka,1037,429,169668.6622,0.21,34481.55,989,,,,,
4,27-08-22,Europe,UK,Bruges,TTD,John Doe,1019,110,63589.55,0.3,19076.87,802,,,,,
5,07-07-22,Europe,Italy,Milan,LSG,John Doe,1034,463,261836.3,0.45,117826.34,360,,,,,
6,07-04-22,Europe,UK,Naples,LSG,Carlos Lopez,1045,332,105545.39,0.44,46439.97,250,,,,,
7,30-12-22,Europe,Sweden,Paris,BPD,Aki Tanaka,1038,46,464574.5,0.49,227641.5,189,,,,,
8,21-10-22,Europe,Italy,Glasgow,PPG,Aki Tanaka,1049,461,63999.94,0.18,11519.99,99,,,,,
9,24-01-23,Europe,France,Bern,LSG,John Doe,1044,435,306749.008,0.42,133431.79,726,,,,,
10,09-02-22,Europe,Netherlands,Zurich,PPG,Aki Tanaka,1008,164,124394.05,0.42,52245.5,875,,,,,
11,15-10-22,Europe,Switzerland,Uppsala,BPD,Aki Tanaka,1010,280,111315.03,0.5,55657.52,522,,,,,
12,02-12-22,Europe,Sweden,London,BPD,Jane Smith,1021,326,348844.3443,0.32,107448.74,735,,,,,
13,15-08-22,Europe,Spain,Rome,TTD,John Doe,1019,371,590651.75,0.43,253980.25,457,,,,,
14,27-07-22,Europe,Spain,Berlin,TTD,John Doe,1050,150,241876.64,0.5,120938.32,842,,,,,
15,06-12-22,Europe,Spain,Paris,LSG,Jane Smith,1011,357,326766.08,0.16,52282.57,716,,,,,
16,24-10-22,Europe,UK,Florence,TTD,Aki Tanaka,1009,377,11412.16,0.41,4678.99,920,,,,,
17,10-08-22,Europe,Sweden,Zurich,LSG,Carlos Lopez,1059,333,120230.28,0.19,22843.75,887,,,,,
18,17-07-22,Europe,Austria,Paris,PPG,Aki Tanaka,1046,331,313978.35,0.4,125591.34,856,,,,,
19,08-05-22,Europe,Belgium,Linz,BPD,Aki Tanaka,1044,192,22895.61,0.28,6410.77,733,,,,,
